combination,sum_rewards,fuel_used,time_used
[5 0 1],0.0,1.4150602552372484,29
[5 0 2],0.0,1.4150602552372484,29
[5 0 3],0.0,1.320434470672313,29
[5 0 4],0.0,1.4052651014811515,29
[5 0 5],0.0,0.0,0
[5 1 0],1.0,2.086246361136318,58
[5 1 1],1.0,0.6390983059313228,29
[5 1 2],0.0,1.1063677509923684,29
[5 1 3],1.0,1.3181454795786374,58
[5 1 4],1.0,1.1284087688204534,58
[5 1 5],0.0,1.2616109307083945,29
[5 2 0],1.0,0.6278468537177764,29
[5 2 1],1.0,1.6778682474479536,58
[5 2 2],1.0,0.5715004964510866,29
[5 2 3],0.0,0.0,0
[5 2 4],1.0,1.1720067006716146,58
[5 2 5],1.0,0.7661850440585894,29
[5 3 0],1.0,2.2795332558528187,58
[5 3 1],2.0,0.9475094739624889,58
[5 3 2],1.0,1.097246199270777,58
[5 3 3],1.0,0.8203863516336355,29
[5 3 4],1.0,1.685823671955756,58
[5 3 5],1.0,1.1464607269394977,58
[5 4 0],1.0,1.2306870802583951,58
[5 4 1],0.0,0.0,0
[5 4 2],1.0,1.2239534205800795,58
[5 4 3],1.0,1.5548719976503858,58
[5 4 4],1.0,0.5441598469538561,29
[5 4 5],1.0,1.4630856966101966,58
[5 5 0],0.0,0.0,0
[5 5 1],1.0,0.4485820377872942,29
[5 5 2],1.0,0.7333062493164765,29
[5 5 3],1.0,1.0096296173792414,58
[5 5 4],1.0,1.2242112733907875,58
[5 5 5],1.0,0.4485820377872942,29
